TransactionID,UserID,TransactionAmount,TransactionDate,Location,Device,IsFlaggedFraud
1,1102,11.25,2024-01-01 00:00:00,Los Angeles,Desktop,0
2,1435,15.41,2024-01-01 00:01:00,Austin,Mobile,0
3,1860,9.3,2024-01-01 00:02:00,New York,Desktop,0
4,1270,5.03,2024-01-01 00:03:00,San Francisco,Desktop,1
5,1106,27.16,2024-01-01 00:04:00,Austin,Mobile,0
6,1071,6.01,2024-01-01 00:05:00,Austin,Desktop,0
7,1700,9.43,2024-01-01 00:06:00,Los Angeles,Desktop,0
8,1020,39.63,2024-01-01 00:07:00,San Francisco,Mobile,0
9,1614,8.99,2024-01-01 00:08:00,Chicago,Mobile,0
10,1121,3.3,2024-01-01 00:09:00,Houston,Desktop,0
11,1466,19.09,2024-01-01 00:10:00,Los Angeles,Desktop,0
12,1214,12.44,2024-01-01 00:11:00,San Francisco,Mobile,0
13,1330,36.21,2024-01-01 00:12:00,San Francisco,Mobile,0
14,1458,5.4,2024-01-01 00:13:00,Seattle,Desktop,0
15,1087,69.67,2024-01-01 00:14:00,New York,Tablet,0
16,1372,118.35,2024-01-01 00:15:00,Houston,Mobile,1
17,1099,68.02,2024-01-01 00:16:00,Los Angeles,Mobile,0
18,1871,38.05,2024-01-01 00:17:00,Los Angeles,Tablet,0
19,1663,98.54,2024-01-01 00:18:00,Chicago,Tablet,0
20,1130,59.36,2024-01-01 00:19:00,Seattle,Desktop,0
21,1661,0.53,2024-01-01 00:20:00,Seattle,Desktop,0
22,1308,25.05,2024-01-01 00:21:00,New York,Mobile,0
23,1769,95.17,2024-01-01 00:22:00,Seattle,Tablet,0
24,1343,21.22,2024-01-01 00:23:00,New York,Mobile,0
25,1491,1.79,2024-01-01 00:24:00,San Francisco,Desktop,1
26,1413,68.56,2024-01-01 00:25:00,San Francisco,Mobile,0
27,1805,80.98,2024-01-01 00:26:00,Los Angeles,Desktop,0
28,1385,8.75,2024-01-01 00:27:00,Chicago,Tablet,0
29,1191,38.54,2024-01-01 00:28:00,Los Angeles,Desktop,0
30,1955,10.66,2024-01-01 00:29:00,Seattle,Tablet,0
31,1276,63.51,2024-01-01 00:30:00,Austin,Desktop,0
32,1160,15.84,2024-01-01 00:31:00,San Francisco,Tablet,0
33,1459,19.01,2024-01-01 00:32:00,Austin,Desktop,0
34,1313,93.21,2024-01-01 00:33:00,Seattle,Mobile,0
35,1021,32.34,2024-01-01 00:34:00,Chicago,Tablet,0
36,1252,55.4,2024-01-01 00:35:00,Los Angeles,Mobile,0
37,1747,25.74,2024-01-01 00:36:00,San Francisco,Mobile,0
38,1856,17.69,2024-01-01 00:37:00,Chicago,Desktop,0
39,1560,49.11,2024-01-01 00:38:00,Los Angeles,Desktop,0
40,1474,8.41,2024-01-01 00:39:00,Los Angeles,Mobile,0
41,1058,23.34,2024-01-01 00:40:00,Austin,Desktop,1
42,1510,11.73,2024-01-01 00:41:00,Houston,Mobile,0
43,1681,59.5,2024-01-01 00:42:00,Seattle,Mobile,0
44,1475,144.31,2024-01-01 00:43:00,New York,Desktop,0
45,1699,270.31,2024-01-01 00:44:00,San Francisco,Desktop,0
46,1975,29.92,2024-01-01 00:45:00,New York,Desktop,0
47,1782,14.55,2024-01-01 00:46:00,Chicago,Desktop,0
48,1189,29.24,2024-01-01 00:47:00,New York,Tablet,0
49,1957,93.95,2024-01-01 00:48:00,Austin,Mobile,0
50,1686,11.53,2024-01-01 00:49:00,Houston,Desktop,0
51,1957,151.93,2024-01-01 00:50:00,San Francisco,Desktop,1
52,1562,20.92,2024-01-01 00:51:00,Seattle,Mobile,0
53,1875,212.74,2024-01-01 00:52:00,Los Angeles,Desktop,0
54,1566,91.2,2024-01-01 00:53:00,Los Angeles,Desktop,0
55,1243,82.66,2024-01-01 00:54:00,Seattle,Desktop,0
56,1831,19.13,2024-01-01 00:55:00,Austin,Mobile,0
57,1504,0.44,2024-01-01 00:56:00,San Francisco,Desktop,0
58,1130,24.07,2024-01-01 00:57:00,New York,Desktop,0
59,1484,17.96,2024-01-01 00:58:00,Seattle,Tablet,0
60,1818,1.91,2024-01-01 00:59:00,Los Angeles,Desktop,0
61,1646,35.2,2024-01-01 01:00:00,New York,Mobile,0
62,1020,25.79,2024-01-01 01:01:00,Austin,Desktop,0
63,1840,50.33,2024-01-01 01:02:00,Los Angeles,Desktop,0
64,1166,48.54,2024-01-01 01:03:00,Chicago,Desktop,1
65,1273,6.43,2024-01-01 01:04:00,Houston,Desktop,0
66,1387,188.54,2024-01-01 01:05:00,New York,Desktop,0
67,1600,10.35,2024-01-01 01:06:00,Seattle,Desktop,0
68,1315,29.46,2024-01-01 01:07:00,San Francisco,Desktop,0
69,1013,33.48,2024-01-01 01:08:00,New York,Desktop,0
70,1241,83.85,2024-01-01 01:09:00,New York,Mobile,0
71,1776,5.23,2024-01-01 01:10:00,New York,Mobile,0
72,1345,27.99,2024-01-01 01:11:00,Seattle,Mobile,0
73,1564,49.51,2024-01-01 01:12:00,Austin,Mobile,0
74,1897,12.11,2024-01-01 01:13:00,Austin,Tablet,0
75,1339,49.37,2024-01-01 01:14:00,San Francisco,Desktop,1
76,1091,128.63,2024-01-01 01:15:00,Austin,Desktop,1
77,1366,299.94,2024-01-01 01:16:00,Seattle,Desktop,0
78,1955,1.65,2024-01-01 01:17:00,San Francisco,Mobile,1
79,1454,13.43,2024-01-01 01:18:00,San Francisco,Mobile,0
80,1427,18.58,2024-01-01 01:19:00,Austin,Mobile,0
81,1508,25.47,2024-01-01 01:20:00,Los Angeles,Desktop,0
82,1775,13.87,2024-01-01 01:21:00,Austin,Mobile,0
83,1942,11.38,2024-01-01 01:22:00,Los Angeles,Desktop,1
84,1034,154.56,2024-01-01 01:23:00,Chicago,Desktop,0
85,1205,125.37,2024-01-01 01:24:00,Austin,Mobile,0
86,1080,2.41,2024-01-01 01:25:00,Chicago,Desktop,0
87,1931,20.69,2024-01-01 01:26:00,Austin,Desktop,0
88,1561,25.97,2024-01-01 01:27:00,Chicago,Mobile,0
89,1871,13.66,2024-01-01 01:28:00,Houston,Mobile,0
90,1387,49.56,2024-01-01 01:29:00,Chicago,Desktop,0
91,1001,51.14,2024-01-01 01:30:00,Los Angeles,Desktop,0
92,1389,95.02,2024-01-01 01:31:00,New York,Tablet,0
93,1565,67.52,2024-01-01 01:32:00,San Francisco,Desktop,0
94,1105,39.11,2024-01-01 01:33:00,Chicago,Desktop,0
95,1771,53.01,2024-01-01 01:34:00,New York,Desktop,0
96,1821,16.01,2024-01-01 01:35:00,Seattle,Mobile,0
97,1476,44.95,2024-01-01 01:36:00,Houston,Desktop,0
98,1702,33.59,2024-01-01 01:37:00,Houston,Desktop,0
99,1401,7.16,2024-01-01 01:38:00,Seattle,Desktop,0
100,1729,13.89,2024-01-01 01:39:00,Seattle,Desktop,0
101,1555,17.24,2024-01-01 01:40:00,Seattle,Desktop,0
102,1161,129.06,2024-01-01 01:41:00,Los Angeles,Mobile,0
103,1201,13.09,2024-01-01 01:42:00,Seattle,Tablet,0
104,1957,17.07,2024-01-01 01:43:00,Los Angeles,Tablet,0
105,1995,23.05,2024-01-01 01:44:00,Chicago,Mobile,0
106,1269,54.49,2024-01-01 01:45:00,Austin,Mobile,0
107,1862,6.29,2024-01-01 01:46:00,Seattle,Mobile,1
108,1815,153.9,2024-01-01 01:47:00,Seattle,Mobile,0
109,1270,100.34,2024-01-01 01:48:00,Houston,Mobile,0
110,1455,43.04,2024-01-01 01:49:00,New York,Desktop,0
111,1461,56.05,2024-01-01 01:50:00,Austin,Desktop,0
112,1726,0.84,2024-01-01 01:51:00,Houston,Tablet,0
