client_id,age,job,marital,education,credit_default,mortgage
0,56,_________,married,________,False,False
1,57,________,married,___________,False,False
2,37,________,married,___________,False,True
3,40,______,married,________,False,False
4,56,________,married,___________,False,False
5,45,________,married,________,False,False
6,59,______,married,___________________,False,False
7,41,___________,married,_______,False,False
8,24,__________,single,___________________,False,True
9,25,________,single,___________,False,True
10,41,___________,married,_______,False,False
11,25,________,single,___________,False,True
12,29,___________,single,___________,False,False
13,57,_________,divorced,________,False,True
14,35,___________,married,________,False,True
15,54,_______,married,________,False,True
16,35,___________,married,________,False,True
17,46,___________,married,________,False,True
18,50,___________,married,________,False,True
19,39,__________,single,________,False,False
20,30,__________,married,___________,False,False
21,55,___________,married,________,False,True
22,55,_______,single,___________,False,True
23,41,__________,single,___________,False,True
24,37,______,married,___________,False,True
25,35,__________,married,_________________,False,False
26,59,__________,married,_______,False,True
27,39,_____________,married,________,False,False
28,54,__________,single,_________________,False,False
29,55,_______,married,_________________,False,False
30,46,______,married,_______,False,False
31,59,__________,married,_______,False,True
32,49,___________,married,_______,False,False
33,54,__________,married,________,False,True
34,54,___________,divorced,________,False,False
35,55,_______,married,________,False,True
36,34,________,married,___________,False,False
37,52,__________,married,________,False,True
38,41,______,married,_________________,False,True
39,56,__________,married,________,False,True
40,58,__________,unknown,_________________,False,True
41,32,____________,married,___________,False,True
42,38,______,single,___________________,False,False
43,57,______,married,_________________,False,False
44,44,______,married,_________________,False,True
45,42,__________,single,___________________,False,False
46,57,______,married,_________________,False,True
47,40,___________,married,________,False,False
48,35,______,married,_________________,False,True
49,45,___________,married,________,False,True
50,54,______,married,___________,False,False
51,39,_________,married,________,False,False
52,60,______,married,___________,False,False
53,53,______,single,___________________,False,False
54,55,___________,married,________,False,False
55,55,__________,married,___________________,False,True
56,50,__________,married,_________________,False,False
57,45,________,married,___________,False,True
58,55,__________,married,___________________,False,True
59,25,__________,single,_________________,False,True
60,47,____________,married,_________________,False,False
61,51,___________,married,________,False,True
62,42,___________,married,________,False,True
63,42,___________,married,________,False,False
64,48,______,married,___________,False,False
65,37,______,married,_________________,False,False
66,44,___________,single,________,False,True
67,33,______,married,_______,False,True
68,56,______,married,________,False,True
69,44,___________,single,________,False,True
70,41,__________,married,________,False,False
71,44,__________,divorced,_________________,False,True
72,47,______,married,_________________,False,True
73,57,_______,married,_______,False,False
74,37,______,married,_________________,False,True
75,41,___________,divorced,________,False,True
76,55,__________,married,_________________,False,False
77,33,________,married,___________,False,True
78,55,__________,married,_______,False,True
79,42,___________,married,________,False,False
80,50,___________,married,________,False,True
81,51,___________,married,________,False,False
82,38,______,married,___________,False,False
83,49,____________,married,_________________,False,True
84,38,__________,single,_________________,False,False
85,31,______,divorced,___________,False,False
86,41,__________,married,________,False,False
87,39,______,married,_________________,False,True
88,49,__________,married,________,False,False
89,34,______,married,___________,False,True
90,35,______,married,_________________,False,True
91,57,_______,married,_______,False,True
92,60,______,married,_______,False,False
93,33,__________,married,________,False,False
94,42,___________,married,________,False,False
95,45,________,married,___________________,False,True
96,42,__________,married,_________________,False,False
97,53,______,divorced,_________________,False,False
98,37,__________,single,___________________,False,False
99,44,___________,married,________,False,False
100,54,________,married,_______,False,True
101,49,___________,married,________,False,False
102,54,________,married,_______,False,False
103,52,______,divorced,_________________,False,False
104,52,______,divorced,_________________,False,False
105,43,________,single,___________,False,False
106,34,_________,married,________,False,True
107,35,______,married,___________,False,True
108,42,____________,married,_______,False,True
109,43,__________,married,_______,False,True
110,60,_______,divorced,_________________,False,False
111,58,__________,married,________,False,False
112,35,________,divorced,___________,False,True
113,55,___________,married,________,False,True
114,37,__________,married,_________________,False,False
115,36,___________,married,___________,False,False
116,52,______,divorced,_________________,False,False
117,57,___________,divorced,_______,False,True
118,56,______,married,_______,False,True
119,48,___________,divorced,________,False,True
120,40,___________,married,___________,False,True
121,49,___________,divorced,___________,False,False
122,41,________,married,___________,False,False
123,45,__________,married,___________,False,True
124,32,______,married,_________________,False,True
125,42,______,married,_________________,False,False
126,50,______,married,________,False,False
127,31,__________,divorced,___________________,False,True
128,56,_______,married,________,False,True
129,41,__________,married,___________________,False,True
130,37,___________,married,________,False,True
131,41,__________,married,___________________,False,False
132,35,___________,married,_______,False,True
133,37,___________,married,________,False,True
134,52,__________,married,_________________,False,False
135,39,__________,divorced,_________________,False,False
136,39,_________,married,________,False,False
137,56,___________,married,________,False,False
138,34,________,married,___________,False,True
139,45,___________,married,________,False,True
140,43,__________,single,_________________,False,True
141,56,__________,married,_______,False,True
142,39,__________,married,_________________,False,True
143,53,___________,married,________,False,True
144,38,_______,divorced,___________,False,True
145,42,___________,married,________,False,True
146,42,___________,married,________,False,False
147,35,______,single,___________,False,True
148,40,______,married,_________________,False,True
149,51,___________,married,________,False,True
150,60,___________,married,________,False,False
151,56,____________,married,_______,False,True
152,39,________,divorced,___________,False,True
153,56,____________,married,_______,False,False
154,40,___________,married,_______,False,True
155,36,___________,married,________,False,True
156,51,___________,married,_______,False,True
157,51,___________,married,_______,False,False
