transaction_id,user_id,timestamp,amount,merchant_category,location,payment_method,is_fraud
2d729890-bc8c-45e1-902e-51ade5886d7f,7973,2024-03-13 07:49:19,3161.97,Gas Station,San Francisco,PayPal,0
9fd617fa-306c-4488-8e4c-a9177adc474c,3114,2024-05-24 21:25:49,638.87,Entertainment,Seattle,Debit Card,0
f044f3ae-8d45-427f-960e-56c628d7cf51,6659,2024-08-01 13:52:21,4515.92,Subscription Service,Houston,Debit Card,0
2c92a43c-7cc6-4785-aa14-70f75acb7734,6798,2024-07-31 10:14:51,4484.74,Fast Food,Los Angeles,Debit Card,0
7596f151-5cce-47b4-889e-669ea62c8871,8096,2024-04-20 12:06:54,3824.54,Luxury Goods,San Francisco,Credit Card,0
2389490d-b448-43bc-9697-d479b30b388c,3507,2024-09-29 21:13:06,4285.19,Subscription Service,Seattle,Bitcoin,0
74b0c15b-7f63-448b-bc18-1f0201f39b30,8295,2024-11-13 04:58:16,2975.54,Travel,Los Angeles,Bitcoin,0
38727d51-a467-4c70-bf57-bd5e5d0d1922,9861,2024-08-09 19:30:35,228.42,Gas Station,Houston,PayPal,0
7cda6625-848a-40e3-a578-21831d1ffe76,6662,2024-05-14 06:43:06,4535.91,Entertainment,Chicago,Bitcoin,0
d70dd7d8-514e-4294-a48c-10e660df5ed6,5686,2024-09-25 12:27:21,626.36,Electronics,Chicago,Bitcoin,0
ba54666e-8b77-40db-bc40-de3a095e2d77,5228,2024-02-08 12:17:15,4824.6,Online Purchase,Houston,Bitcoin,0
3bb437f8-3d18-4c23-9c6b-3ed0441ad451,5867,2024-07-17 20:11:27,2842.2,Gas Station,Houston,Debit Card,0
c67da126-eda2-455c-b4c0-87915870d125,6590,2024-06-24 06:05:42,1968.83,Fast Food,Miami,Debit Card,0
8ceabe3a-161e-4670-b94d-667cf37f7f4e,5493,2024-04-22 14:02:43,1789.88,Online Purchase,Los Angeles,Credit Card,0
d94f5ea1-9560-4a2f-b96d-83aefe445166,9323,2024-02-29 22:12:51,39.93,Entertainment,San Francisco,Credit Card,0
ff400cab-8acc-45e9-bff7-e1435d7eb190,9166,2024-05-29 14:11:37,1989.91,Clothing,Los Angeles,Bitcoin,0
7604ab8d-d35a-439b-8e12-ab5436524516,8027,2024-12-04 14:36:37,371.18,Entertainment,Los Angeles,Debit Card,0
2459e935-d591-4015-9434-7e2cd298a059,1054,2024-04-20 08:31:44,4946.13,Fast Food,Miami,PayPal,0
24f02982-5419-473b-8c94-4201955edb46,9933,2024-08-11 03:38:39,425.27,Luxury Goods,Miami,Debit Card,0
849dd5b9-7157-4a38-bb49-bc940d01954a,4155,2024-08-23 22:30:53,1584.73,Travel,Seattle,PayPal,0
77f00ec8-1e63-42a0-aca4-5d44206efba2,3581,2024-11-03 18:50:20,2834.18,Clothing,Seattle,Debit Card,0
e4c5edb3-33d9-4d06-9708-e5d878e3b082,1115,2024-01-24 14:20:20,3808.91,Online Purchase,Miami,Credit Card,0
518a9ed8-0318-4ec5-ba80-4d9db321cc1f,1431,2024-05-03 00:29:44,2212.35,Entertainment,Miami,Debit Card,0
91fa74e2-370e-46a3-9e1b-27d72ee6d840,5070,2024-08-12 02:16:28,2970.55,Groceries,Los Angeles,Bitcoin,0
3497291e-0731-419e-820e-4996afec8167,4496,2024-09-30 17:48:08,304.06,Luxury Goods,Chicago,Debit Card,0
f9f055a8-4f50-452f-ad36-5c58f5b8d999,6433,2024-04-21 19:17:18,1434.8,Clothing,Houston,Credit Card,0
e165b22a-a72e-48a8-be7e-c59c356f3c80,3112,2024-03-10 19:10:11,499.88,Gas Station,Houston,PayPal,0
07b09e25-9134-4236-8dff-cc755f1bf7c7,8397,2024-07-19 09:00:42,3500.01,Gas Station,New York,Bitcoin,0
869ceab6-1c60-4354-8696-e6357a596f71,2138,2024-07-03 00:54:10,2974.23,Luxury Goods,Chicago,Debit Card,0
5d86a2a6-9907-4a8b-bc15-8828001525eb,9175,2024-05-13 19:48:14,4592.19,Clothing,Los Angeles,Debit Card,0
be3a15a9-9cd3-4c94-99cd-b9a57a55d656,4692,2024-05-09 21:46:56,3215.38,Travel,Los Angeles,Credit Card,0
7d943779-b360-472f-a310-067f925ce7fd,6442,2024-08-30 07:12:56,1741.46,Subscription Service,Seattle,Bitcoin,0
d4657f75-95d2-4c1c-9857-18e59dc30776,3732,2024-02-08 07:24:31,240.05,Gas Station,New York,Credit Card,0
a0c0b910-ec33-440a-af95-64f7be58b197,3933,2024-03-07 10:09:00,4379.98,Gas Station,San Francisco,Debit Card,0
9d5be4c3-f8c6-45a8-bbb2-8253e16f7318,1652,2024-10-20 14:18:08,122.4,Entertainment,San Francisco,PayPal,0
1b348e8f-de36-44e9-873b-c61ce69027a2,2385,2024-01-17 17:51:29,3805.94,Entertainment,Miami,Bitcoin,0
a424e16a-28ad-48b8-af26-9c7649b982e5,4605,2024-12-30 23:20:15,4447.17,Travel,Miami,PayPal,0
f2797f92-dd1b-4aec-92a1-eca78c99643c,3808,2024-01-12 06:48:29,2691.9,Groceries,Houston,Credit Card,0
3bd098b0-2e02-460f-8dba-8d1c8b90cf5a,5531,2024-12-04 20:12:41,3497.23,Clothing,Seattle,PayPal,0
